id,movie_id,info_type_id
13909526,2000075,16
9845695,819394,6
13334033,1580086,16
9202732,1636474,1
7982085,2167501,4
11536634,2422625,7
13483590,1704034,16
9425664,1978523,1
8423802,819179,18
1234051,1656343,106
7478002,1638991,4
1836925,2071249,63
3623955,1959645,2
9329848,1834130,1
2035840,2457151,95
5155707,2211933,8
3958099,2314023,2
13040662,1298436,16
10032582,1937242,6
12611928,900775,16
8900253,2525736,18
6361818,2122129,3
308752,542539,15
9519583,2122662,1
668395,2180089,15
9037120,425961,1
11319562,2284974,7
13430518,1665438,16
11456912,2382768,7
6914815,2456719,3
130369,2152773,13
11983989,304694,16
6181147,1998397,3
6107800,1950967,3
11931007,255442,16
4649883,1735304,8
9915071,1450911,6
5852760,1784769,3
487157,1587351,15
7164454,567249,4
12181403,494258,16
13152972,1403246,16
6618169,2287589,3
5071384,2131901,8
14163836,2172047,16
6638018,2299512,3
10081289,2061010,6
1787683,1838171,88
7412789,1406374,4
14828512,2471935,9
6062852,1923290,3
13825671,1943056,16
7270863,926575,4
4358174,851848,8
951483,1792734,17
14150626,2161567,16
8174925,2370383,4
3506192,1836025,2
8731810,2021808,18
4343376,794380,8
9843808,787805,6
875343,1198124,17
13231214,1477781,16
14328778,2290064,16
10536341,1367304,7
8232159,2433614,4
11100589,2075393,7
14476526,2381948,16
3346958,1668208,2
13555461,1764187,16
757638,2388419,15
3227884,1335902,2
4309401,646818,8
1084133,2291062,17
10115551,2158981,6
7988438,2174361,4
8552625,1663820,18
7371140,1302416,4
10856781,1873999,7
12132541,447909,16
9737157,2456478,1
9427024,1982137,1
12147490,461852,16
484803,1565033,15
14535838,2415901,16
7939976,2123447,4
4850208,1924544,8
6830700,2408103,3
13858997,1966339,16
1413654,1857144,106
4748838,1829035,8
9015139,260747,1
7532568,1696632,4
3372983,1696065,2
1263269,2243671,107
5043939,2105636,8
7491433,1654257,4
3427049,1753022,2
13402171,1643338,16
4792330,1869532,8
2930574,234979,2
9960302,1731717,6
14223407,2216203,16
9210460,1649549,1
8905510,2380355,18
129028,2139616,13
7708925,1881911,4
125961,2121393,13
6515120,2221273,3
14299426,2269265,16
9613920,2266619,1
181292,2415730,13
12811525,1088496,16
1299415,2069104,104
9463771,2037707,1
12269091,575029,16
13043411,1301253,16
7123490,392903,4
9682524,2371211,1
8717083,1989551,18
1443872,2428526,106
13344816,1589700,16
8887583,2351374,18
11709123,45393,16
9285612,1767507,1
11453842,2381130,7
9318940,1817395,1
12096610,410279,16
2279945,2082522,98
14247879,2234491,16
8586203,1731197,18
5660400,1661763,3
6120664,1958928,3
6319948,2094270,3
10150541,2259234,6
12716973,996993,16
6523200,2226907,3
385422,1096548,15
7876528,2057130,4
1312728,1749500,106
1508258,1381289,102
14350291,2304139,16
10372516,676115,7
14034254,2081035,16
315242,582079,15
8122630,2315765,4
6878175,2433424,3
8112426,2304930,4
2041378,2505015,94
6801865,2392986,3
3297955,1575036,2
5513502,345206,3
4342227,790951,8
4056161,2414732,2
8513069,1419452,18
1587394,2416415,107
9640335,2306517,1
2440975,1169120,5
5105567,2164770,8
1641335,1904036,106
490467,1608177,15
303264,510807,15
12767272,1046337,16
973304,1883582,17
11793004,125638,16
6669005,2318081,3
8117680,2310545,4
7205901,708117,4
5216893,2269695,8
10217939,2420344,6
14628224,2478678,16
13194096,1440939,16
2628736,2002848,5
4249672,388329,8
3201129,1285431,2
12900712,1171869,16
