id,kind_id,production_year
497217,7,2013
218400,7,2003
1333631,7,1961
943895,7,2006
1418047,7,2006
1369144,7,1966
2375579,1,2010
756353,2,1987
2219235,1,1966
2525558,1,1976
1763938,1,1908
2427453,3,1991
802805,7,1953
2223352,1,1982
753034,2,2009
1675640,1,1998
2037895,1,1951
576943,7,1966
1253518,7,2000
1253568,7,2000
1676977,4,2003
2091031,1,1922
1386481,7,2006
1648360,1,1993
2282933,1,1933
1590422,7,1995
389851,7,1994
81682,7,2010
824692,7,2011
389941,7,2011
507925,7,2001
2064650,1,2003
1462633,7,2007
2296358,1,1998
2019834,4,2003
2189810,1,1896
2287944,1,2004
2212699,1,1950
724382,7,2010
2434834,1,2006
591836,7,1966
335023,7,2009
1643612,1,2008
1361887,7,1991
1804371,1,1925
1002265,7,1982
1707741,1,2004
36738,7,2012
751356,7,1998
2325102,1,1992
2504036,1,2007
132099,7,2013
2512395,1,1956
1731373,1,2004
1521063,7,1998
1354350,7,1993
1388001,7,1980
292089,7,1978
116659,7,1999
999802,7,2001
485379,7,2009
841818,7,2009
1296030,7,1971
1834304,1,2009
2153204,3,2002
2257491,1,1992
1948669,3,2007
1056146,7,1979
1585234,2,1995
1439610,7,1994
978661,7,1995
465100,7,2006
355867,7,2006
1727236,4,2007
2187758,1,2012
1174491,7,2007
870001,7,1997
1272641,7,2007
2209168,1,1935
2314567,1,1909
2099203,1,2008
1793602,1,2010
1840959,1,2014
138518,2,2012
2328092,3,2000
95462,7,2007
2097871,1,1976
165506,2,1997
692960,7,2012
1580366,7,2000
1626645,7,2009
2202916,4,2002
112849,7,2013
149969,2,1988
523027,7,1976
1940233,1,2011
227102,7,2012
2172076,1,1968
1996557,1,1940
296996,7,2011
1652496,1,1925
1967497,4,1985
884549,7,2006
2182026,1,2007
129638,7,2006
2503213,3,1988
988741,7,1995
1176246,7,2001
910376,7,2007
641959,7,2008
1043998,7,1984
760355,7,2011
330093,7,2008
159510,7,1999
2318667,1,2000
2057779,1,1914
1481669,7,2012
485169,7,2009
1365906,7,1979
2269451,1,1989
1544766,7,2011
2080125,1,2009
2308062,3,2002
1094674,7,2007
703622,7,1998
1055722,7,1995
1989785,1,1997
1660384,1,1912
1699439,1,1967
2124572,4,1996
816675,7,2010
982418,7,2010
2226386,3,1966
701335,2,1997
1423366,7,1972
2442442,1,2011
2167020,1,2000
337576,7,1963
1369224,7,2010
1737775,1,1897
2473530,3,1974
392781,7,1984
2375014,1,2003
1650272,1,2011
896395,7,1994
217762,7,2013
253789,7,1991
1104354,7,1976
288343,2,1982
1620797,7,2007
2016897,3,1965
2304142,1,1969
2430553,1,1962
1306874,7,1955
1485948,7,1956
845950,7,2013
1224077,7,1971
525319,7,2010
450095,2,2006
1114838,7,
2066178,1,1986
1149860,2,2009
1580531,2,2010
1174406,7,2006
1261436,7,1992
969966,2,2009
2428699,4,1988
384343,7,1997
757658,7,1957
1650397,1,1971
1979686,3,1991
493195,7,2013
244377,7,1995
1536953,7,2007
2347234,4,2005
1039270,7,1966
2160051,1,1927
145085,7,2006
2199682,6,1984
101395,7,2006
2065839,3,1974
1949710,1,1906
1382334,7,1987
969123,7,1994
1427765,7,1978
16679,7,1991
938527,7,2012
860851,7,2006
1902219,1,1916
1989910,1,1999
613644,7,2010
1799868,1,1973
602230,7,2006
2010836,4,1997
1567053,7,
1284470,7,2005
1020763,2,2013
174502,7,2012
828203,7,2012
1602037,7,2010
1744927,1,2007
929486,7,2012
1616867,7,2006
2155752,4,2004
835168,7,1975
1990254,1,2009
992870,7,2008
1646069,1,1909
1709983,3,1990
1456000,7,2010
867868,7,2004
2303950,1,2012
2299831,4,2012
1557853,7,2009
1168714,7,2011
793556,7,2012
1257640,7,1997
381663,7,2010
879499,7,2013
1270765,7,1957
1090510,7,1975
1249125,7,1991
1097776,7,1980
937762,7,2005
2210689,4,2005
2491517,1,2000
1907466,1,2011
1659937,3,1994
2186768,1,1959
338868,7,1995
1423,7,2007
1665197,4,1991
2521034,3,1964
2255568,4,1999
1193543,2,2010
1246046,7,2012
1317803,7,1962
347063,7,2009
469314,7,1995
1595522,7,2001
1351916,7,1969
1043848,7,1979
842728,7,2008
344102,7,
344848,7,2009
160123,7,1972
702693,7,2000
896091,2,1994
1393820,7,2008
1252691,7,1997
604677,7,
32927,7,2013
1333551,7,1958
560114,7,2009
1437204,7,2010
673090,7,2013
2465557,4,1984
1637374,3,1988
1882750,1,2011
1215576,7,1999
2156179,4,1994
1257507,7,1998
2301899,1,1982
46681,2,2007
1454806,7,2005
1195952,7,2012
1268486,7,2012
794366,7,2005
707310,7,2003
1295534,7,1994
780897,2,2006
742773,7,2006
2291232,1,1973
1917898,1,1937
468625,7,2003
809748,7,2007
1585136,7,2005
169185,7,
2428297,1,2008
1991258,1,1989
721549,7,2008
454862,7,1978
1828765,1,1923
2289028,1,1987
754644,7,2003
2081925,1,2012
112500,7,1976
1749386,1,1914
2402289,1,1965
1940417,3,2007
2312484,1,1946
859833,7,2010
816430,7,2010
377010,7,2004
1696596,1,1996
1083336,7,1978
2055337,4,2000
1883647,1,2007
486124,7,
624616,7,2004
2362781,4,1993
1852719,1,2006
1600689,7,2012
699395,7,1994
399846,7,2002
2392240,1,1936
2096036,4,2006
1492126,2,2003
1462100,7,2009
1676636,1,1924
1581185,7,2006
1553595,7,2004
1494450,7,
323448,7,2011
640339,7,2011
1990586,1,1940
2043929,1,2005
1391422,7,2011
676095,7,1999
1757114,1,1965
1532244,7,2011
530523,7,2001
1308990,7,2000
2357032,1,1915
2008374,3,1978
1138956,7,2010
1119215,7,1994
1540802,7,1997
1599393,7,2012
2335571,1,2010
123119,7,2012
2334402,1,1997
2484517,1,2005
168071,7,1979
1558664,7,2012
90358,7,2005
667753,7,2010
279151,7,1990
1408629,7,2013
1603570,7,2011
2208344,1,2012
262039,7,2012
539746,7,1977
390580,2,2011
1960660,4,2009
1619090,7,2012
82794,7,1983
1150548,7,2013
1343797,7,1968
1690789,1,2012
217933,7,1979
1453811,7,1998
1265148,7,2000
450805,7,1968
619971,7,2007
1441581,7,2007
401297,7,2009
2399324,1,1971
812132,7,1989
718106,2,2009
1733878,4,2008
651655,7,2010
249336,7,2012
242900,7,2010
1726677,1,2006
48069,7,2007
2474053,1,1954
1596108,7,2004
2379301,1,2012
1345120,7,1956
1760978,1,2012
1821855,1,2012
210112,7,2007
1662995,1,1974
1526954,7,2010
1888790,1,1913
2194061,3,1968
547776,7,1999
659621,7,2010
1622263,7,2005
477422,7,2004
273123,7,1997
1307161,7,1998
1079834,7,2009
1601812,7,1967
468472,7,1983
1769960,1,1960
717606,7,2007
1809329,1,2006
911209,7,2001
713888,7,
758228,7,2006
1441227,7,2005
1286072,7,1993
1779377,4,2000
2120645,1,2006
938586,7,2011
2083615,1,1962
233234,2,1966
1497415,7,2011
843077,7,2013
421461,7,2011
2284007,1,1916
615234,7,2010
738366,7,2012
1927277,1,2012
1964200,1,2012
2037061,1,1940
1311814,7,1999
1247408,7,2010
1719010,1,2000
1126132,7,2010
688822,7,1990
2499752,1,1922
2212670,3,1974
370880,7,1967
1532657,7,2012
324455,7,2004
2308069,4,2005
2216120,1,1903
1892793,1,1897
308955,7,2011
1046959,7,2011
411606,7,2004
750993,7,2006
1469684,7,1964
2228108,1,2009
397813,7,2005
2362037,1,1915
2486946,1,1923
187491,7,2006
402530,7,
1650472,1,1929
1391874,7,1957
1608276,2,1968
1950342,1,1960
1860214,1,2007
1534487,7,1955
1339480,7,
2165777,1,1965
203253,7,1996
1782139,4,2011
1237711,7,1987
810999,7,2004
866055,7,2008
2241533,1,2012
837145,7,1972
2048622,1,2006
2293796,1,1972
2486287,1,2005
2362144,1,1955
245836,7,1998
204637,7,1978
1118266,7,2012
1906476,1,1960
2047553,1,1918
2465394,1,1991
870932,2,1994
2501299,1,2007
2475732,1,2004
2313889,1,2012
1910204,3,2012
1030841,7,1977
418879,7,2000
1725016,3,2004
1053865,7,1997
1535056,7,1986
1362285,7,1959
2254399,1,2000
1929320,3,1993
1823170,1,1905
1495442,7,2002
96020,7,1976
999904,7,2003
943942,7,2006
1015513,7,2013
1911292,1,1962
1757893,1,1989
2500470,1,2007
1091653,7,2007
216044,2,1952
861309,7,2009
304083,7,1980
89794,7,2003
1438978,7,1961
497654,7,2002
2310362,1,1971
944235,7,1977
325003,7,2012
1815629,1,2010
1571367,7,2004
658585,7,1981
1565903,7,1999
326737,7,2012
832227,7,1996
2463169,1,1919
1262545,7,2003
2001640,4,1993
990614,7,2001
605064,7,1996
2275893,1,2011
1864582,1,1899
879756,7,2012
232269,7,2012
2309861,6,2009
1277707,7,1960
360905,7,1978
80216,7,2012
1253260,7,1999
966667,7,2011
1122430,7,1988
904020,7,
1976137,1,1972
384672,7,1970
2469574,1,2009
1678390,1,1943
982024,7,1962
1014883,2,1998
51667,7,2001
1815442,1,1994
1417713,7,2013
369480,7,2007
1368336,7,
2000772,3,2008
2504173,1,2001
1092917,7,2008
910430,7,2006
2165706,1,1975
818402,7,1996
1771386,3,2000
695304,7,1959
1523638,7,2009
1811224,1,1988
1942750,1,1994
1696895,1,1925
1567272,7,2009
2024911,1,1952
138176,2,2012
512062,7,2012
627783,7,2013
1649505,1,1979
2126053,1,1957
2299279,1,1982
1482220,7,2003
1336900,7,2011
2061413,1,1954
837879,7,2012
1693491,1,1977
1628201,7,1997
765931,7,2004
213871,7,1956
1023202,7,2005
2433454,1,2003
662820,2,2003
2391361,1,1915
58896,7,2001
1379103,7,2013
1541998,7,1994
1043181,7,2004
1632132,7,2001
1068577,7,2000
2060097,1,1979
737821,7,2004
1550715,7,2005
132463,7,2008
1498243,7,1999
2006746,4,1997
1505959,7,1998
977943,7,1966
1721100,1,1929
2168071,4,2005
2305187,1,1912
77666,2,2004
1317652,7,1975
1907919,6,2003
603454,7,2011
1756145,1,1927
1447886,7,1986
1336751,7,1970
1201349,7,2012
215904,7,1985
117960,7,
1373586,7,2013
1718096,1,1980
1421260,7,2012
1535199,7,2009
1750959,1,2007
1675511,1,1920
2203101,1,2012
188942,7,1998
1759059,1,1994
1944428,1,2013
1097941,7,2003
1910684,1,1994
844492,7,1985
1252310,7,1995
1632931,3,1985
1210127,7,2009
1134893,7,2009
1134477,2,2011
